ticker,company,sector
SJM,The J. M. Smucker Company,Consumer Defensive
STZ,"Constellation Brands, Inc.",Consumer Defensive
SYY,Sysco Corporation,Consumer Defensive
TAP,Molson Coors Beverage Company,Consumer Defensive
TGT,Target Corporation,Consumer Defensive
TSN,"Tyson Foods, Inc.",Consumer Defensive
WMT,Walmart Inc.,Consumer Defensive
APA,APA Corporation,Energy
BKR,Baker Hughes Company,Energy
COP,ConocoPhillips,Energy
CTRA,Coterra Energy Inc.,Energy
CVX,Chevron Corporation,Energy
DVN,Devon Energy Corporation,Energy
EOG,"EOG Resources, Inc.",Energy
EQT,EQT Corporation,Energy
EXE,Expand Energy Corporation,Energy
FANG,"Diamondback Energy, Inc.",Energy
HAL,Halliburton Company,Energy
HES,Hess Corporation,Energy
KMI,"Kinder Morgan, Inc.",Energy
MPC,Marathon Petroleum Corporation,Energy
OKE,"ONEOK, Inc.",Energy
OXY,Occidental Petroleum Corporation,Energy
PSX,Phillips 66,Energy
SLB,Schlumberger Limited,Energy
TPL,Texas Pacific Land Corporation,Energy
TRGP,Targa Resources Corp.,Energy
VLO,Valero Energy Corporation,Energy
WMB,"The Williams Companies, Inc.",Energy
XOM,Exxon Mobil Corporation,Energy
ACGL,Arch Capital Group Ltd.,Financial Services
AFL,Aflac Incorporated,Financial Services
AIG,"American International Group, Inc.",Financial Services
AIZ,"Assurant, Inc.",Financial Services
AJG,Arthur J. Gallagher & Co.,Financial Services
ALL,The Allstate Corporation,Financial Services
AMP,"Ameriprise Financial, Inc.",Financial Services
AON,Aon plc,Financial Services
APO,"Apollo Global Management, Inc.",Financial Services
AXP,American Express Company,Financial Services
BAC,Bank of America Corporation,Financial Services
BEN,"Franklin Resources, Inc.",Financial Services
BK,The Bank of New York Mellon Corporation,Financial Services
BLK,"BlackRock, Inc.",Financial Services
BRO,"Brown & Brown, Inc.",Financial Services
BX,Blackstone Inc.,Financial Services
C,Citigroup Inc.,Financial Services
CB,Chubb Limited,Financial Services
CBOE,"Cboe Global Markets, Inc.",Financial Services
CFG,"Citizens Financial Group, Inc.",Financial Services
CINF,Cincinnati Financial Corporation,Financial Services
CME,CME Group Inc.,Financial Services
COF,Capital One Financial Corporation,Financial Services
DFS,Discover Financial Services,Financial Services
EG,"Everest Group, Ltd.",Financial Services
ERIE,Erie Indemnity Company,Financial Services
FDS,FactSet Research Systems Inc.,Financial Services
FITB,Fifth Third Bancorp,Financial Services
GL,Globe Life Inc.,Financial Services
GS,"The Goldman Sachs Group, Inc.",Financial Services
HBAN,Huntington Bancshares Incorporated,Financial Services
HIG,"The Hartford Insurance Group, Inc.",Financial Services
ICE,"Intercontinental Exchange, Inc.",Financial Services
IVZ,Invesco Ltd.,Financial Services
JPM,JPMorgan Chase & Co.,Financial Services
KEY,KeyCorp,Financial Services
KKR,KKR & Co. Inc.,Financial Services
L,Loews Corporation,Financial Services
MA,Mastercard Incorporated,Financial Services
MCO,Moody's Corporation,Financial Services
MET,"MetLife, Inc.",Financial Services
MKTX,MarketAxess Holdings Inc.,Financial Services
MMC,"Marsh & McLennan Companies, Inc.",Financial Services
MS,Morgan Stanley,Financial Services
MSCI,MSCI Inc.,Financial Services
MTB,M&T Bank Corporation,Financial Services
NDAQ,"Nasdaq, Inc.",Financial Services
NTRS,Northern Trust Corporation,Financial Services
PFG,"Principal Financial Group, Inc.",Financial Services
PGR,The Progressive Corporation,Financial Services
PNC,"The PNC Financial Services Group, Inc.",Financial Services
PRU,"Prudential Financial, Inc.",Financial Services
PYPL,"PayPal Holdings, Inc.",Financial Services
RF,Regions Financial Corporation,Financial Services
RJF,"Raymond James Financial, Inc.",Financial Services
SCHW,The Charles Schwab Corporation,Financial Services
SPGI,S&P Global Inc.,Financial Services
STT,State Street Corporation,Financial Services
SYF,Synchrony Financial,Financial Services
TFC,Truist Financial Corporation,Financial Services
TROW,"T. Rowe Price Group, Inc.",Financial Services
TRV,"The Travelers Companies, Inc.",Financial Services
USB,U.S. Bancorp,Financial Services
V,Visa Inc.,Financial Services
WFC,Wells Fargo & Company,Financial Services
WRB,W. R. Berkley Corporation,Financial Services
WTW,Willis Towers Watson Public Limited Company,Financial Services
A,"Agilent Technologies, Inc.",Healthcare
ABBV,AbbVie Inc.,Healthcare
ABT,Abbott Laboratories,Healthcare
ALGN,"Align Technology, Inc.",Healthcare
AMGN,Amgen Inc.,Healthcare
BAX,Baxter International Inc.,Healthcare
BIIB,Biogen Inc.,Healthcare
BMY,Bristol-Myers Squibb Company,Healthcare
BSX,Boston Scientific Corporation,Healthcare
CAH,"Cardinal Health, Inc.",Healthcare
CI,The Cigna Group,Healthcare
CNC,Centene Corporation,Healthcare
COO,"The Cooper Companies, Inc.",Healthcare
COR,"Cencora, Inc.",Healthcare
CRL,"Charles River Laboratories International, Inc.",Healthcare
CVS,CVS Health Corporation,Healthcare
DGX,Quest Diagnostics Incorporated,Healthcare
DHR,Danaher Corporation,Healthcare
DVA,DaVita Inc.,Healthcare
DXCM,"DexCom, Inc.",Healthcare
ELV,"Elevance Health, Inc.",Healthcare
EW,Edwards Lifesciences Corporation,Healthcare
GEHC,GE HealthCare Technologies Inc.,Healthcare
GILD,"Gilead Sciences, Inc.",Healthcare
HCA,"HCA Healthcare, Inc.",Healthcare
HOLX,"Hologic, Inc.",Healthcare
HSIC,"Henry Schein, Inc.",Healthcare
HUM,Humana Inc.,Healthcare
IDXX,"IDEXX Laboratories, Inc.",Healthcare
INCY,Incyte Corporation,Healthcare
IQV,IQVIA Holdings Inc.,Healthcare
ISRG,"Intuitive Surgical, Inc.",Healthcare
JNJ,Johnson & Johnson,Healthcare
LH,Labcorp Holdings Inc.,Healthcare
LLY,Eli Lilly and Company,Healthcare
MCK,McKesson Corporation,Healthcare
MDT,Medtronic plc,Healthcare
MOH,"Molina Healthcare, Inc.",Healthcare
MRK,"Merck & Co., Inc.",Healthcare
MRNA,"Moderna, Inc.",Healthcare
MTD,Mettler-Toledo International Inc.,Healthcare
PFE,Pfizer Inc.,Healthcare
PODD,Insulet Corporation,Healthcare
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
RMD,ResMed Inc.,Healthcare
RVTY,"Revvity, Inc.",Healthcare
SOLV,Solventum Corporation,Healthcare
STE,STERIS plc,Healthcare
SYK,Stryker Corporation,Healthcare
TECH,Bio-Techne Corporation,Healthcare
TMO,Thermo Fisher Scientific Inc.,Healthcare
UHS,"Universal Health Services, Inc.",Healthcare
UNH,UnitedHealth Group Incorporated,Healthcare
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare
VTRS,Viatris Inc.,Healthcare
WAT,Waters Corporation,Healthcare
WBA,"Walgreens Boots Alliance, Inc.",Healthcare
WST,"West Pharmaceutical Services, Inc.",Healthcare
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare
ZTS,Zoetis Inc.,Healthcare
ALLE,Allegion plc,Industrials
AME,"AMETEK, Inc.",Industrials
AOS,A. O. Smith Corporation,Industrials
AXON,"Axon Enterprise, Inc.",Industrials
BA,The Boeing Company,Industrials
BLDR,"Builders FirstSource, Inc.",Industrials
CARR,Carrier Global Corporation,Industrials
CAT,Caterpillar Inc.,Industrials
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
CMI,Cummins Inc.,Industrials
CPRT,"Copart, Inc.",Industrials
CSX,CSX Corporation,Industrials
CTAS,Cintas Corporation,Industrials
DAL,"Delta Air Lines, Inc.",Industrials
DE,Deere & Company,Industrials
DOV,Dover Corporation,Industrials
EFX,Equifax Inc.,Industrials
EMR,Emerson Electric Co.,Industrials
ETN,Eaton Corporation plc,Industrials
EXPD,"Expeditors International of Washington, Inc.",Industrials
FAST,Fastenal Company,Industrials
FDX,FedEx Corporation,Industrials
GD,General Dynamics Corporation,Industrials
GE,GE Aerospace,Industrials
GNRC,Generac Holdings Inc.,Industrials
GPN,Global Payments Inc.,Industrials
GWW,"W.W. Grainger, Inc.",Industrials
HII,"Huntington Ingalls Industries, Inc.",Industrials
HON,Honeywell International Inc.,Industrials
HUBB,Hubbell Incorporated,Industrials
HWM,Howmet Aerospace Inc.,Industrials
IEX,IDEX Corporation,Industrials
IR,Ingersoll Rand Inc.,Industrials
ITW,Illinois Tool Works Inc.,Industrials
J,Jacobs Solutions Inc.,Industrials
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials
JCI,Johnson Controls International plc,Industrials
LHX,"L3Harris Technologies, Inc.",Industrials
LII,Lennox International Inc.,Industrials
LMT,Lockheed Martin Corporation,Industrials
LUV,Southwest Airlines Co.,Industrials
MAS,Masco Corporation,Industrials
MMM,3M Company,Industrials
NDSN,Nordson Corporation,Industrials
NOC,Northrop Grumman Corporation,Industrials
NSC,Norfolk Southern Corporation,Industrials
ODFL,"Old Dominion Freight Line, Inc.",Industrials
OTIS,Otis Worldwide Corporation,Industrials
PCAR,PACCAR Inc,Industrials
PH,Parker-Hannifin Corporation,Industrials
PNR,Pentair plc,Industrials
POOL,Pool Corporation,Industrials
PWR,"Quanta Services, Inc.",Industrials
ROK,"Rockwell Automation, Inc.",Industrials
RSG,"Republic Services, Inc.",Industrials
RTX,RTX Corporation,Industrials
SNA,Snap-on Incorporated,Industrials
SWK,"Stanley Black & Decker, Inc.",Industrials
TDG,TransDigm Group Incorporated,Industrials
TT,Trane Technologies plc,Industrials
TXT,Textron Inc.,Industrials
UAL,"United Airlines Holdings, Inc.",Industrials
UNP,Union Pacific Corporation,Industrials
UPS,"United Parcel Service, Inc.",Industrials
URI,"United Rentals, Inc.",Industrials
VLTO,Veralto Corporation,Industrials
VRSK,"Verisk Analytics, Inc.",Industrials
WAB,Westinghouse Air Brake Technologies Corporation,Industrials
WM,"Waste Management, Inc.",Industrials
XYL,Xylem Inc.,Industrials
AMT,American Tower Corporation,Real Estate
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate
AVB,"AvalonBay Communities, Inc.",Real Estate
BXP,"BXP, Inc.",Real Estate
CBRE,"CBRE Group, Inc.",Real Estate
CCI,Crown Castle Inc.,Real Estate
CPT,Camden Property Trust,Real Estate
CSGP,"CoStar Group, Inc.",Real Estate
DLR,"Digital Realty Trust, Inc.",Real Estate
DOC,"Healthpeak Properties, Inc.",Real Estate
EQIX,"Equinix, Inc.",Real Estate
EQR,Equity Residential,Real Estate
ESS,"Essex Property Trust, Inc.",Real Estate
EXR,Extra Space Storage Inc.,Real Estate
FRT,Federal Realty Investment Trust,Real Estate
HST,"Host Hotels & Resorts, Inc.",Real Estate
INVH,Invitation Homes Inc.,Real Estate
IRM,Iron Mountain Incorporated,Real Estate
KIM,Kimco Realty Corporation,Real Estate
MAA,"Mid-America Apartment Communities, Inc.",Real Estate
O,Realty Income Corporation,Real Estate
PLD,"Prologis, Inc.",Real Estate
PSA,Public Storage,Real Estate
REG,Regency Centers Corporation,Real Estate
SBAC,SBA Communications Corporation,Real Estate
SPG,"Simon Property Group, Inc.",Real Estate
UDR,"UDR, Inc.",Real Estate
VICI,VICI Properties Inc.,Real Estate
VTR,"Ventas, Inc.",Real Estate
WELL,Welltower Inc.,Real Estate
WY,Weyerhaeuser Company,Real Estate
AAPL,Apple Inc.,Technology
ACN,Accenture plc,Technology
ADBE,Adobe Inc.,Technology
ADI,"Analog Devices, Inc.",Technology
ADP,"Automatic Data Processing, Inc.",Technology
ADSK,"Autodesk, Inc.",Technology
AKAM,"Akamai Technologies, Inc.",Technology
AMAT,"Applied Materials, Inc.",Technology
AMD,"Advanced Micro Devices, Inc.",Technology
ANET,Arista Networks Inc,Technology
ANSS,"ANSYS, Inc.",Technology
APH,Amphenol Corporation,Technology
AVGO,Broadcom Inc.,Technology
CDNS,"Cadence Design Systems, Inc.",Technology
CDW,CDW Corporation,Technology
CPAY,"Corpay, Inc.",Technology
CRM,"Salesforce, Inc.",Technology
CRWD,"CrowdStrike Holdings, Inc.",Technology
CSCO,"Cisco Systems, Inc.",Technology
CTSH,Cognizant Technology Solutions Corporation,Technology
DAY,Dayforce Inc,Technology
DELL,Dell Technologies Inc.,Technology
ENPH,"Enphase Energy, Inc.",Technology
EPAM,"EPAM Systems, Inc.",Technology
FFIV,"F5, Inc.",Technology
FI,"Fiserv, Inc.",Technology
FICO,Fair Isaac Corporation,Technology
FIS,"Fidelity National Information Services, Inc.",Technology
FSLR,"First Solar, Inc.",Technology
FTNT,"Fortinet, Inc.",Technology
FTV,Fortive Corporation,Technology
GDDY,GoDaddy Inc.,Technology
GEN,Gen Digital Inc.,Technology
GLW,Corning Incorporated,Technology
GRMN,Garmin Ltd.,Technology
HPE,Hewlett Packard Enterprise Company,Technology
HPQ,HP Inc.,Technology
IBM,International Business Machines Corporation,Technology
INTC,Intel Corporation,Technology
INTU,Intuit Inc.,Technology
IT,"Gartner, Inc.",Technology
JBL,Jabil Inc.,Technology
JKHY,"Jack Henry & Associates, Inc.",Technology
JNPR,"Juniper Networks, Inc.",Technology
KEYS,"Keysight Technologies, Inc.",Technology
KLAC,KLA Corporation,Technology
LDOS,"Leidos Holdings, Inc.",Technology
LRCX,Lam Research Corporation,Technology
MCHP,Microchip Technology Incorporated,Technology
MPWR,"Monolithic Power Systems, Inc.",Technology
MSFT,Microsoft Corporation,Technology
MSI,"Motorola Solutions, Inc.",Technology
MU,"Micron Technology, Inc.",Technology
NOW,"ServiceNow, Inc.",Technology
NTAP,"NetApp, Inc.",Technology
NVDA,NVIDIA Corporation,Technology
NXPI,NXP Semiconductors N.V.,Technology
ON,ON Semiconductor Corporation,Technology
ORCL,Oracle Corporation,Technology
PANW,"Palo Alto Networks, Inc.",Technology
PAYC,"Paycom Software, Inc.",Technology
PAYX,"Paychex, Inc.",Technology
PLTR,Palantir Technologies Inc.,Technology
PTC,PTC Inc.,Technology
QCOM,QUALCOMM Incorporated,Technology
ROP,"Roper Technologies, Inc.",Technology
SMCI,"Super Micro Computer, Inc.",Technology
SNPS,"Synopsys, Inc.",Technology
STX,Seagate Technology Holdings plc,Technology
SWKS,"Skyworks Solutions, Inc.",Technology
TDY,Teledyne Technologies Incorporated,Technology
TEL,TE Connectivity plc,Technology
TER,"Teradyne, Inc.",Technology
TRMB,Trimble Inc.,Technology
TXN,Texas Instruments Incorporated,Technology
TYL,"Tyler Technologies, Inc.",Technology
UBER,"Uber Technologies, Inc.",Technology
VRSN,"VeriSign, Inc.",Technology
WDAY,"Workday, Inc.",Technology
WDC,Western Digital Corporation,Technology
ZBRA,Zebra Technologies Corporation,Technology
BF.B,Unknown,Unknown
BRK.B,Unknown,Unknown
AEE,Ameren Corporation,Utilities
AEP,"American Electric Power Company, Inc.",Utilities
AES,The AES Corporation,Utilities
ATO,Atmos Energy Corporation,Utilities
AWK,"American Water Works Company, Inc.",Utilities
CEG,Constellation Energy Corporation,Utilities
CMS,CMS Energy Corporation,Utilities
CNP,"CenterPoint Energy, Inc.",Utilities
D,"Dominion Energy, Inc.",Utilities
DTE,DTE Energy Company,Utilities
DUK,Duke Energy Corporation,Utilities
ED,"Consolidated Edison, Inc.",Utilities
EIX,Edison International,Utilities
ES,Eversource Energy,Utilities
ETR,Entergy Corporation,Utilities
EVRG,"Evergy, Inc.",Utilities
EXC,Exelon Corporation,Utilities
FE,FirstEnergy Corp.,Utilities
GEV,GE Vernova Inc.,Utilities
LNT,Alliant Energy Corporation,Utilities
NEE,"NextEra Energy, Inc.",Utilities
NI,NiSource Inc.,Utilities
NRG,"NRG Energy, Inc.",Utilities
PCG,PG&E Corporation,Utilities
PEG,Public Service Enterprise Group Incorporated,Utilities
PNW,Pinnacle West Capital Corporation,Utilities
PPL,PPL Corporation,Utilities
SO,The Southern Company,Utilities
SRE,Sempra,Utilities
VST,Vistra Corp.,Utilities
WEC,"WEC Energy Group, Inc.",Utilities
XEL,Xcel Energy Inc.,Utilities
